sName,taxonID,friendlyName,category,gName
monoceros,13704,Monodon monoceros,LC,Monodon
orca,15421,Orcinus orca,DD,Orcinus
electra,16564,Peponocephala electra,LC,Peponocephala
phocoena,17027,Phocoena phocoena,LC,Phocoena
spinipinnis,17029,Phocoena spinipinnis,NT,Phocoena
dalli,17032,Phocoenoides dalli,LC,Phocoenoides
attenuata,20729,Stenella attenuata,LC,Stenella
clymene,20730,Stenella clymene,LC,Stenella
coeruleoalba,20731,Stenella coeruleoalba,LC,Stenella
frontalis,20732,Stenella frontalis,LC,Stenella
shepherdi,21500,Tasmacetus shepherdi,DD,Tasmacetus
cavirostris,23211,Ziphius cavirostris,LC,Ziphius
pacificus,40635,Indopacetus pacificus,LC,Indopacetus
japonica,41711,Eubalaena japonica,EN,Eubalaena
aduncus,41714,Tursiops aduncus,NT,Tursiops
dioptrica,41715,Phocoena dioptrica,LC,Phocoena
asiaeorientalis,41754,Neophocaena asiaeorientalis,EN,Neophocaena
perrini,41759,Mesoplodon perrini,EN,Mesoplodon
traversii,41760,Mesoplodon traversii,DD,Mesoplodon
fluviatilis,190871,Sotalia fluviatilis,EN,Sotalia
phocaenoides,198920,Neophocaena phocaenoides,VU,Neophocaena
byronia,41665,Otaria byronia,LC,Otaria
philippii,2059,Arctocephalus philippii,LC,Arctocephalus
subpalmata,41660,Mustela subpalmata,LC,Mustela
gazella,2058,Arctocephalus gazella,LC,Arctocephalus
cucphuongensis,68369199,Melogale cucphuongensis,DD,Melogale
hoevenii,70205771,Arctonyx hoevenii,LC,Arctonyx
albogularis,70206273,Arctonyx albogularis,LC,Arctonyx
russelliana,70207817,Mustela russelliana,DD,Mustela
tonkinensis,70207949,Mustela tonkinensis,DD,Mustela
plumbea,82031633,Sousa plumbea,EN,Sousa
sahulensis,82031667,Sousa sahulensis,VU,Sousa
gwatkinsii,12847,Martes gwatkinsii,VU,Martes
felina,12303,Lontra felina,EN,Lontra
provocax,12305,Lontra provocax,EN,Lontra
senegalensis,22104,Trichechus senegalensis,VU,Trichechus
japonicus,41667,Zalophus japonicus,EX,Zalophus
monachus,13653,Monachus monachus,EN,Monachus
brevirostris,15419,Orcaella brevirostris,EN,Orcaella
teuszii,20425,Sousa teuszii,CR,Sousa
heinsohni,136315,Orcaella heinsohni,VU,Orcaella
chinensis,82031425,Sousa chinensis,VU,Sousa
