taxonid,assessmentid,kingdom,phylum,class,order,family,genus,species,infrarank,infratype,subpopulation,friendly_name,taxonomic_authority,category,criteria,possibly_extinct,possibly_extinct_wild,assessmentdate,assessors,evaluators,contributors,facilitators
41672,45231341,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Pusa,hispida,,,,Pusa hispida,"(Schreber, 1775)",LC,,FALSE,FALSE,16-Jan-16,"Lowry, L.","Boveng, P.","Kovacs, K.M. & Härkönen , T.","Ahonen, H., Pollock, C.M., Battistoni, A. & Chiozza, F."
41676,45231738,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Pusa,sibirica,,,,Pusa sibirica,"(Gmelin, 1788)",LC,,FALSE,FALSE,10-Jul-15,"Goodman, S.","Lowry, L.","Dmitrieva, L. & Burkanov, V.","Lowry, L., Ahonen, H., Pollock, C.M., Chiozza, F. & Battistoni, A."
2467,50347659,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENIDAE,Balaena,mysticetus,,,,Balaena mysticetus,"Linnaeus, 1758",LC,,FALSE,FALSE,01-Jan-18,"Cooke, J.G. & Reeves, R.","George, C., Moore, S., Taylor, B.L. & Lowry, L.","Stanfield, M.","Lowry, L."
2474,50348265,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,acutorostrata,,,,Balaenoptera acutorostrata,"Lacépède, 1804",LC,,FALSE,FALSE,16-Mar-18,"Cooke, J.G.","Hammond, P.S., Reeves, R., Taylor, B.L., Donovan, G. & Brownell Jr., R.L.","Ashe, E.","Lowry, L."
2476,50349178,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,edeni,,,,Balaenoptera edeni,"Anderson, 1879",LC,,FALSE,FALSE,27-Dec-17,"Cooke, J.G. & Brownell Jr., R.L.","Jackson, J., Zerbini, A.N., Taylor, B.L. & Reeves, R.","Stanfield, M.","Lowry, L."
2478,50349982,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,physalus,,,,Balaenoptera physalus,"(Linnaeus, 1758)",VU,A1d,FALSE,FALSE,04-Feb-18,"Cooke, J.G.","Brownell Jr., R.L. & Reeves, R.","Stanfield, M.","Lowry, L."
2480,50350661,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,bonaerensis,,,,Balaenoptera bonaerensis,"Burmeister, 1867",NT,A2b,FALSE,FALSE,02-Jan-18,"Cooke, J.G., Zerbini, A.N. & Taylor, B.L.","Reeves, R., Jackson, J. & Brownell Jr., R.L.","Stanfield, M.","Lowry, L."
2763,50351457,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Berardius,bairdii,,,,Berardius bairdii,"Stejneger, 1883",LC,,FALSE,FALSE,23-Aug-20,"Taylor, B.L. & Brownell Jr., R.L.","Barlow, J., Reeves, R. & Cipriano, F.",,"Braulik, G."
3778,50351626,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,NEOBALAENIDAE,Caperea,marginata,,,,Caperea marginata,"(Gray, 1846)",LC,,FALSE,FALSE,04-Jan-18,"Cooke, J.G.","Reeves, R., Zerbini, A.N. & Brownell Jr., R.L.","Morris, E.","Lowry, L."
4160,50351955,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Cephalorhynchus,eutropia,,,,Cephalorhynchus eutropia,"Gray, 1846",NT,C1+2a(i),FALSE,FALSE,25-Jul-17,"Heinrich, S. & Reeves, R.","Brownell, R., Hammond, P.S. & Secchi, E.",,"Lowry, L."
4161,50352086,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Cephalorhynchus,heavisidii,,,,Cephalorhynchus heavisidii,"(Gray, 1828)",NT,C1,FALSE,FALSE,17-Sep-17,"Elwen, S. & Gopal, K.","Reeves, R., Hammond, P.S., Heinrich, S., Jefferson, T.A., Braulik, G.T. & Collins, T.",,"Lowry, L."
6335,50352346,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,MONODONTIDAE,Delphinapterus,leucas,,,,Delphinapterus leucas,"(Pallas, 1776)",LC,,FALSE,FALSE,22-Jun-17,"Lowry, L., Reeves, R. & Laidre, K.","Taylor, B.L. & Moore, S.",,"Chiozza, F. & Pollock, C.M."
8097,50353881,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ESCHRICHTIIDAE,Eschrichtius,robustus,,,,Eschrichtius robustus,"(Lilljeborg, 1861)",LC,,FALSE,FALSE,30-Dec-17,"Cooke, J.G.","Brownell Jr., R.L., Lang, A., Reeves, R. & Taylor, B.L.","Astudillo-Scalia, Y.","Lowry, L."
8153,50354147,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENIDAE,Eubalaena,australis,,,,Eubalaena australis,"(Desmoulins, 1822)",LC,,FALSE,FALSE,21-Dec-17,"Cooke, J.G. & Zerbini, A.N.","Brownell Jr., R.L., Clapham, P.J., Jackson, J., Reeves, R. & Taylor, B.L.","Ashe, E.","Lowry, L."
8551,50354433,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Feresa,attenuata,,,,Feresa attenuata,"Gray, 1875",LC,,FALSE,FALSE,13-Mar-17,"Braulik, G.","Reeves, R. & Taylor, B.L.",,"Lowry, L."
9249,50355227,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Globicephala,macrorhynchus,,,,Globicephala macrorhynchus,"Gray, 1846",LC,,FALSE,FALSE,18-Jun-18,"Minton, G., Braulik, G. & Reeves, R.","Taylor, B.L. & Olson, P.",,"Lowry, L."
9250,50356171,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Globicephala,melas,,,,Globicephala melas,"(Traill, 1809)",LC,,FALSE,FALSE,18-Jun-18,"Minton, G., Reeves, R. & Braulik, G.","Taylor, B.L., Olson, P., Pike, D. & Desportes, G.",,"Lowry, L."
9461,50356660,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Grampus,griseus,,,,Grampus griseus,"(G. Cuvier, 1812)",LC,,FALSE,FALSE,21-Feb-18,"Kiszka, J. & Braulik, G.","Reeves, R.",,"Lowry, L."
10707,50357742,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Hyperoodon,ampullatus,,,,Hyperoodon ampullatus,"(Forster, 1770)",NT,C1,FALSE,FALSE,20-Oct-20,"Whitehead, H., Reeves, R., Feyrer, L. & Brownell Jr., R.L.","Taylor, B.L.",,"Braulik, G."
10708,50357964,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Hyperoodon,planifrons,,,,Hyperoodon planifrons,"Flower, 1882",LC,,FALSE,FALSE,06-Nov-18,"Lowry, L. & Brownell Jr., R.L.","Taylor, B.L. & Cipriano, F.",,"Braulik, G."
10831,50358152,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,INIIDAE,Inia,geoffrensis,,,,Inia geoffrensis,"(Blainville, 1817)",EN,A2acd+3cd+4acd,FALSE,FALSE,21-Jun-18,"da Silva, V., Trujillo, F., Martin, A., Zerbini, A.N., Crespo, E., Aliaga-Rossel, E. & Reeves, R.","Barlow, J., Braulik, G.T., Brownell, R., Hammond, P.S., Smith, B.D. & Taylor, B.L.","Brum, S. & Gravena, W.","Lowry, L."
11140,50360282,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Lagenodelphis,hosei,,,,Lagenodelphis hosei,"Fraser, 1956",LC,,FALSE,FALSE,22-Feb-18,"Kiszka, J. & Braulik, G.","Reeves, R.",,"Lowry, L."
11141,50361160,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Lagenorhynchus,acutus,,,,Lagenorhynchus acutus,"(Gray, 1828)",LC,,FALSE,FALSE,01-Apr-19,"Braulik, G.","Reeves, R.",,
11142,50361346,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Lagenorhynchus,albirostris,,,,Lagenorhynchus albirostris,"(Gray, 1846)",LC,,FALSE,FALSE,18-Mar-18,"Kiszka, J. & Braulik, G.","Reeves, R.",,"Lowry, L."
11143,50361589,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Lagenorhynchus,australis,,,,Lagenorhynchus australis,"(Peale, 1848)",LC,,FALSE,FALSE,30-Jul-18,"Heinrich, S. & Dellabianca, N.","Reeves, R. & Braulik, G.",,"Lowry, L."
11144,50361701,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Lagenorhynchus,cruciger,,,,Lagenorhynchus cruciger,"(Quoy & Gaimard, 1824)",LC,,FALSE,FALSE,18-Mar-18,"Braulik, G.","Reeves, R.",,"Lowry, L."
11145,50361866,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Lagenorhynchus,obliquidens,,,,Lagenorhynchus obliquidens,"Gill, 1865",LC,,FALSE,FALSE,11-May-18,"Ashe, E. & Braulik, G.","Reeves, R. & Taylor, B.L.",,"Lowry, L."
12125,50362415,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Lissodelphis,borealis,,,,Lissodelphis borealis,"(Peale, 1848)",LC,,FALSE,FALSE,16-Apr-18,"Braulik, G. & Jefferson, T.A.","Reeves, R.",,"Lowry, L."
12126,50362558,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Lissodelphis,peronii,,,,Lissodelphis peronii,"(Lacépède, 1804)",LC,,FALSE,FALSE,20-Mar-18,"Braulik, G.","Reeves, R. & Taylor, B.L.",,"Lowry, L."
13006,50362794,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Megaptera,novaeangliae,,,,Megaptera novaeangliae,"(Borowski, 1781)",LC,,FALSE,FALSE,24-Mar-18,"Cooke, J.G.","Clapham, P.J., Taylor, B.L., Reeves, R. & Brownell Jr., R.L.","Astudillo-Scalia, Y.","Lowry, L."
13241,50363686,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,bidens,,,,Mesoplodon bidens,"(Sowerby, 1804)",LC,,FALSE,FALSE,23-Aug-20,"Pitman, R.L. & Brownell Jr., R.L.","Reeves, R. & Taylor, B.L.",,"Braulik, G."
13242,50363892,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,bowdoini,,,,Mesoplodon bowdoini,"Andrews, 1908",DD,,FALSE,FALSE,23-Aug-20,"Pitman, R.L. & Brownell Jr., R.L.","Reeves, R. & Taylor, B.L.",,"Braulik, G."
13243,50364109,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,carlhubbsi,,,,Mesoplodon carlhubbsi,"Moore, 1963",DD,,FALSE,FALSE,13-Aug-20,"Pitman, R.L. & Brownell Jr., R.L.","Reeves, R. & Taylor, B.L.",,
13244,50364253,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,densirostris,,,,Mesoplodon densirostris,"(Blainville, 1817)",LC,,FALSE,FALSE,23-Aug-20,"Pitman, R.L. & Brownell Jr., R.L.","Baird, R.W., Taylor, B.L. & Braulik, G.",,"Braulik, G."
13245,50365198,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,europaeus,,,,Mesoplodon europaeus,"(Gervais, 1855)",LC,,FALSE,FALSE,23-Aug-20,"Pitman, R.L. & Brownell Jr., R.L.","Reeves, R. & Taylor, B.L.",,"Braulik, G."
13247,50366236,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,grayi,,,,Mesoplodon grayi,"Von Haast, 1876",LC,,FALSE,FALSE,23-Aug-20,"Pitman, R.L. & Taylor, B.L.","Reeves, R., Brownell Jr., R.L. & Constantine, R.",,"Braulik, G."
13248,50366525,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,hectori,,,,Mesoplodon hectori,"(Gray, 1871)",DD,,FALSE,FALSE,23-Aug-20,"Pitman, R.L. & Brownell Jr., R.L.","Taylor, B.L. & Cipriano, F.",,"Braulik, G."
13249,50366790,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,layardii,,,,Mesoplodon layardii,"(Gray, 1865)",LC,,FALSE,FALSE,14-Aug-20,"Pitman, R.L. & Brownell Jr., R.L.","Reeves, R. & Taylor, B.L.",,"Braulik, G."
13250,50367095,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,mirus,,,,Mesoplodon mirus,"True, 1913",LC,,FALSE,FALSE,23-Aug-20,"Pitman, R.L. & Brownell Jr., R.L.","Reeves, R. & Taylor, B.L.",,"Braulik, G."
13251,50367335,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,peruvianus,,,,Mesoplodon peruvianus,"Reyes, Mead &amp; Van Waerebeek, 1991",LC,,FALSE,FALSE,23-Aug-20,"Pitman, R.L. & Taylor, B.L.","Reeves, R. & Brownell Jr., R.L.",,"Braulik, G."
13252,50367496,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,stejnegeri,,,,Mesoplodon stejnegeri,"True, 1885",NT,A4b,FALSE,FALSE,23-Aug-20,"Pitman, R.L. & Brownell Jr., R.L.","Reeves, R. & Taylor, B.L.",,"Braulik, G."
13704,50367651,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,MONODONTIDAE,Monodon,monoceros,,,,Monodon monoceros,"Linnaeus, 1758",LC,,FALSE,FALSE,03-Jul-17,"Lowry, L., Laidre, K. & Reeves, R.","Moore, S., Brownell, R., Ferguson, S. & Hansen, R.",,"Taylor, B.L., Chiozza, F. & Pollock, C.M."
15421,50368125,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Orcinus,orca,,,,Orcinus orca,"(Linnaeus, 1758)",DD,,FALSE,FALSE,20-Jun-17,"Reeves, R., Pitman, R.L. & Ford, J.K.B.","Brownell, R.",,"Lowry, L., Taylor, B.L., Chiozza, F. & Pollock, C.M."
16564,50369125,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Peponocephala,electra,,,,Peponocephala electra,"(Gray, 1846)",LC,,FALSE,FALSE,14-Feb-19,"Kiszka, J. & Brownell Jr., R.L.","Reeves, R. & Braulik, G.","Taylor, B.L., Baird, R.W., Barlow, J., Dawson, S.M., Ford, J.K.B., Mead, J.G., Notarbartolo di Sciara, G., Wade, P. & Pitman, R.L.",
17027,50369903,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Phocoena,phocoena,,,,Phocoena phocoena,"(Linnaeus, 1758)",LC,,FALSE,FALSE,19-May-20,"Braulik, G., Minton , G., Amano, M. & Bjørge, A.","Reeves, R. & Taylor, B.L.",,"Braulik, G."
17029,50370481,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Phocoena,spinipinnis,,,,Phocoena spinipinnis,"Burmeister, 1865",NT,A3d+4d,FALSE,FALSE,11-Feb-18,"Félix, F., Alfaro, J., Reyes, J., Mangel, J., Dellabianca, N., Heinrich, S. & Crespo, E.","Taylor, B.L. & Reeves, R.",,"Lowry, L."
17032,50370912,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Phocoenoides,dalli,,,,Phocoenoides dalli,"(True, 1885)",LC,,FALSE,FALSE,22-Mar-17,"Jefferson, T.A. & Braulik, G.","Reeves, R.",,"Lowry, L."
20729,50373009,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Stenella,attenuata,,,,Stenella attenuata,"(Gray, 1846)",LC,,FALSE,FALSE,05-Apr-18,"Kiszka, J. & Braulik, G.","Reeves, R., Jefferson, T.A. & Scott, M.",,"Lowry, L."
20730,50373865,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Stenella,clymene,,,,Stenella clymene,"(Gray, 1846)",LC,,FALSE,FALSE,13-Feb-18,"Jefferson, T.A. & Braulik, G.","Reeves, R. & Taylor, B.L.",,"Lowry, L."
20731,50374282,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Stenella,coeruleoalba,,,,Stenella coeruleoalba,"(Meyen, 1833)",LC,,FALSE,FALSE,19-Apr-18,"Braulik, G.","Reeves, R., Notarbartolo di Sciara, G. & Jefferson, T.A.",,"Lowry, L."
20732,50375312,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Stenella,frontalis,,,,Stenella frontalis,"(G. Cuvier, 1829)",LC,,FALSE,FALSE,02-Mar-18,"Braulik, G. & Jefferson, T.A.","Reeves, R., Taylor, B.L. & Kiszka, J.",,"Lowry, L."
21500,50377701,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Tasmacetus,shepherdi,,,,Tasmacetus shepherdi,"Oliver, 1937",DD,,FALSE,FALSE,02-Mar-18,"Braulik, G.","Reeves, R.",,"Lowry, L."
23211,50379111,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Ziphius,cavirostris,,,,Ziphius cavirostris,"G. Cuvier, 1823",LC,,FALSE,FALSE,04-Oct-18,"Baird, R.W., Brownell Jr., R.L. & Taylor, B.L.","Barlow, J. & Cipriano, F.",,"Braulik, G."
40635,50380449,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Indopacetus,pacificus,,,,Indopacetus pacificus,"(Longman, 1926)",LC,,FALSE,FALSE,23-Aug-20,"Pitman, R.L. & Brownell Jr., R.L.","Reeves, R. & Taylor, B.L.",,"Braulik, G."
41711,50380694,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENIDAE,Eubalaena,japonica,,,,Eubalaena japonica,"(Lacépède, 1818)",EN,D,FALSE,FALSE,19-Dec-17,"Cooke, J.G. & Clapham, P.J.","Reeves, R., Brownell Jr., R.L. & Zerbini, A.N.","Morris, E.","Lowry, L."
41714,50381127,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Tursiops,aduncus,,,,Tursiops aduncus,"(Ehrenberg, 1833)",NT,A4cd,FALSE,FALSE,18-Jul-19,"Braulik, G., Natoli, A., Kiszka, J., Parra, G., Plön, S. & Smith, B.D.","Reeves, R., Taylor, B.L. & Brownell Jr., R.L.",,"Braulik, G."
41715,50381544,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Phocoena,dioptrica,,,,Phocoena dioptrica,"(Lahille, 1912)",LC,,FALSE,FALSE,19-Apr-18,"Dellabianca, N., Pitman, R.L. & Braulik, G.","Taylor, B.L. & Reeves, R.",,"Lowry, L."
41754,50381766,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Neophocaena,asiaeorientalis,,,,Neophocaena asiaeorientalis,"(Pilleri &amp; Gihr, 1972)",EN,A2bcde+3bcde+4bcde,FALSE,FALSE,15-Aug-17,"Wang, J.Y.  & Reeves, R.","Taylor, B.L., Sutaria, D., Minton , G., Amano, M., Jefferson, T.A. & Ponnampalam, L.",,"Lowry, L."
41759,50383813,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,perrini,,,,Mesoplodon perrini,"Dalebout, Mead, Baker, Baker &amp; van Helden, 2002",EN,C2a(ii),FALSE,FALSE,23-Aug-20,"Pitman, R.L., Taylor, B.L., Barlow, J. & Cooke, J.G.","Reeves, R., Brownell Jr., R.L. & Braulik, G.",,"Braulik, G."
41760,50383956,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,traversii,,,,Mesoplodon traversii,"(Gray, 1874)",DD,,FALSE,FALSE,23-Aug-20,"Pitman, R.L. & Taylor, B.L.","Reeves, R. & Brownell Jr., R.L.",,"Braulik, G."
190871,50386457,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Sotalia,fluviatilis,,,,Sotalia fluviatilis,"(Gervais &amp; Deville in Gervais, 1853)",EN,A4b,FALSE,FALSE,20-Aug-20,"da Silva, V., Martin, A., Fettuccia, D., Bivaqua, L. & Trujillo, F.","Braulik, G., Reeves, R. & Taylor, B.L.",,"Braulik, G."
198920,50386795,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Neophocaena,phocaenoides,,,,Neophocaena phocaenoides,"(G. Cuvier, 1829)",VU,A2cde+3cde+4cde,FALSE,FALSE,10-Aug-17,"Wang, J.Y.  & Reeves, R.","Jefferson, T.A., Minton, G., Sutaria, D., Ponnampalam, L. & Taylor, B.L.",,"Lowry, L."
41665,61948292,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Otaria,byronia,,,,Otaria byronia,"(de Blainville, 1820)",LC,,FALSE,FALSE,02-Nov-15,"Cárdenas-Alayza, S., Crespo, E. & Oliveira, L.","Hückstädt, L.A.","Oliva, D., Sepúlveda, M., Franco-Trecu, V. & Túnez, J.","Lowry, L., Ahonen, H., Pollock, C.M., Chiozza, F. & Battistoni, A."
2059,61953525,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,philippii,,,,Arctocephalus philippii,"(Peters, 1866)",LC,,FALSE,FALSE,10-Oct-14,"Aurioles-Gamboa, D.","Trillmich, F., Bohórquez-Herrera, J. & Hernández-Camacho, J.","Kovacs, K.M.","Lowry, L., Ahonen, H., Chiozza, F. & Battistoni, A."
41660,65993325,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,subpalmata,,,,Mustela subpalmata,"Hemprich &amp; Ehrenberg, 1833",LC,,FALSE,FALSE,08-May-15,"McDonald, R.A. & Do Linh San, E.","Duckworth, J.W. & Hoffmann, M.","Hoffmann, M. & Pacifici, M.",
2058,66993062,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,gazella,,,,Arctocephalus gazella,"(Peters, 1875)",LC,,FALSE,FALSE,10-Dec-14,"Hofmeyr, G.J.G.","Goldsworthy, S.D.",,"Lowry, L., Ahonen, H., Pollock, C.M., Chiozza, F. & Battistoni, A."
68369199,68369432,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Melogale,cucphuongensis,,,,Melogale cucphuongensis,"Nadler, Streicher, Stefen, Schwierz &amp; Roos, 2011",DD,,FALSE,FALSE,03-Mar-15,"Helgen, K. & Long, B.","Schipper, J.",,
70205771,70205927,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Arctonyx,hoevenii,,,,Arctonyx hoevenii,"(Hubrecht, 1891)",LC,,FALSE,FALSE,03-Mar-15,"Holden, J., Helgen, K., Shepherd, C. & McCarthy, J.","Duckworth, J.W. & Schipper, J.","Pusparini, W. & Fredriksson, G.",
70206273,70206436,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Arctonyx,albogularis,,,,Arctonyx albogularis,"(Blyth, 1853)",LC,,FALSE,FALSE,03-Mar-15,"Helgen, K. & Chan, B.P.L.","Duckworth, J.W. & Schipper, J.","Wang, Y.-X. & Thapa, S.",
70207817,70207828,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,russelliana,,,,Mustela russelliana,"Thomas, 1911",DD,,FALSE,FALSE,03-Mar-15,"Abramov, A.V. & Duckworth, J.W.","Schipper, J.",,
70207949,70207972,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,tonkinensis,,,,Mustela tonkinensis,"Björkegren, 1941",DD,,FALSE,FALSE,03-Mar-15,"Timmins, R., Duckworth, J.W., Tordoff, A.W., Abramov, A.V., Long, B., Mahood, S., Lunde, D.P., Roberton, S. & Willcox, D.H.A.","Schipper, J.",,
82031633,82031644,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Sousa,plumbea,,,,Sousa plumbea,"(G. Cuvier, 1829)",EN,A2cd+3cd+4cd,FALSE,FALSE,26-May-15,"Braulik, G.T., Findlay, K., Cerchio, S., Baldwin, R. & Perrin, W.","Taylor, B.L. & Reeves, R.",,
82031667,82031671,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Sousa,sahulensis,,,,Sousa sahulensis,"Jefferson &amp; Rosenbaum, 2014 ",VU,C2a(i),FALSE,FALSE,16-May-15,"Parra, G., Cagnazzi, D., Perrin, W. & Braulik, G.T.","Taylor, B.L. & Reeves, R.",,
12847,86161239,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Martes,gwatkinsii,,,,Martes gwatkinsii,"Horsfield, 1851",VU,D1,FALSE,FALSE,03-Mar-15,"Mudappa, D., Jathana, D. & Raman, T.R.S.","Duckworth, J.W. & Schipper, J.","Choudhury, A., Wozencraft, C & Yonzon, P.",
12303,95970132,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Lontra,felina,,,,Lontra felina,"(Molina, 1782)",EN,A2cd+3cde,FALSE,FALSE,20-Jan-20,"Valqui, J. & Rheingantz, M.L.","Hussain, S.A. & Duplaix, N.","Alvarez, R. & Medina-Vogel, G.",
12305,95970485,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Lontra,provocax,,,,Lontra provocax,"(Thomas, 1908)",EN,A2cd+3cde,FALSE,FALSE,29-Dec-19,"Sepúlveda, M.A., Valenzuela, A.E.J., Pozzi, C., Medina-Vogel, G. & Chehébar, C.","Hussain, S.A. & Duplaix, N.","Alvarez, R. & Fasola, L.",
22104,97168578,ANIMALIA,CHORDATA,MAMMALIA,SIRENIA,TRICHECHIDAE,Trichechus,senegalensis,,,,Trichechus senegalensis,"Link, 1795",VU,A3cd; C1,FALSE,FALSE,18-Jul-15,"Keith Diagne, L.","Morales-Vela, B.","Powell, J. & Kouadio, A.",
41667,113089431,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Zalophus,japonicus,,,,Zalophus japonicus,"(Peters, 1866)",EX,,FALSE,FALSE,26-Oct-14,"Lowry, L.","Burkanov, V.","Aurioles, D. & Trillmich, F.","Lowry, L., Ahonen, H., Chiozza, F. & Battistoni, A."
