taxonid,assessmentid,kingdom,phylum,class,order,family,genus,species,infrarank,infratype,subpopulation,friendly_name,taxonomic_authority,category,criteria,possibly_extinct,possibly_extinct_wild,assessmentdate,assessors,evaluators,contributors,facilitators
29673,45203002,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Meles,meles,,,,Meles meles,"(Linnaeus, 1758)",LC,,FALSE,FALSE,03-Mar-15,"Kranz, A., Abramov, A.V., Herrero, J. & Maran, T.","Schipper, J. & Duckworth, J.W.","Tikhonov, A., Conroy, J., Cavallini, P., Fernandes, M., Stubbe, M., Wozencraft, C & Basuony, M.I.",
29674,45203335,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,erminea,,,,Mustela erminea,"Linnaeus, 1758",LC,,FALSE,FALSE,02-May-15,"Reid, F., Helgen, K. & Kranz, A.","Duckworth, J.W.",,
29679,45203762,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,eversmanii,,,,Mustela eversmanii,"Lesson, 1827",LC,,FALSE,FALSE,03-Jan-15,"Maran, T., Skumatov, D., Abramov, A.V. & Kranz, A.","Pacifici, M.","Dinets, V., Wozencraft, C, Stubbe, M., Cavallini, P. & Tikhonov, A.",
29680,45203971,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Vormela,peregusna,,,,Vormela peregusna,"(Güldenstädt, 1770)",VU,A2c,FALSE,FALSE,03-Mar-15,"Abramov, A.V., Kranz, A. & Maran, T.","Schipper, J. & Duckworth, J.W.","Tikhonov, A., Cavallini, P., Herrero, J., Giannatos, G., Stubbe, M., Conroy, J., Kryštufek, B. & Wozencraft, C",
40784,45204492,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Neovison,macrodon,,,,Neovison macrodon,"(Prentis, 1903)",EX,,FALSE,FALSE,02-May-15,"Helgen, K. & Turvey, S.T.","Duckworth, J.W.",,
41626,45209676,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Melogale,moschata,,,,Melogale moschata,"(Gray, 1831)",LC,,FALSE,FALSE,03-Mar-15,"Duckworth, J.W., Abramov, A.V., Willcox, D.H.A., Timmins, R.J., Choudhury, A., Roberton, S., Long, B. & Lau, M.","Schipper, J.","Coudrat, C.N.Z.",
41627,45209826,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Melogale,personata,,,,Melogale personata,"I. Geoffroy Saint-Hilaire, 1831",LC,,FALSE,FALSE,03-Mar-15,"Duckworth, J.W., Long, B., Willcox, D.H.A., Coudrat, C.N.Z., Timmins, R.J., Abramov, A.V., Chan, B.P.L. & Chutipong, W.","Schipper, J.","Rasphone, A., Ghimirey, Y., Baral, H.S., Yonzon, P., Roberton, S., Chetri, M., Datta, A., Choudhury, A., Kakati, K. & Holden, J.",
41629,45210107,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mellivora,capensis,,,,Mellivora capensis,"(Schreber, 1776)",LC,,FALSE,FALSE,28-Feb-15,"Do Linh San, E., Begg, C., Begg, K. & Abramov, A.V.","Duckworth, J.W. & Hoffmann, M.","Pacifici, M.",
41639,45211832,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Galictis,cuja,,,,Galictis cuja,"(Molina, 1782)",LC,,FALSE,FALSE,01-Mar-15,"Helgen, K. & Schiaffini, M.","Duckworth, J.W.",,
41640,45211961,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Galictis,vittata,,,,Galictis vittata,"(Schreber, 1776)",LC,,FALSE,FALSE,01-Mar-15,"Cuarón, A.D., Reid, F., González-Maya, J.F. & Helgen, K.","Duckworth, J.W.",,
41644,45212151,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Eira,barbara,,,,Eira barbara,"(Linnaeus, 1758)",LC,,FALSE,FALSE,01-Mar-15,"Cuarón, A.D., Reid, F., Helgen, K. & González-Maya, J.F.","Duckworth, J.W.",,
41645,45212347,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Ictonyx,libycus,,,,Ictonyx libycus,"(Hemprich &amp; Ehrenberg, 1833)",LC,,FALSE,FALSE,28-Feb-15,"Ahmim, M. & Do Linh San, E.","Duckworth, J.W. & Hoffmann, M.","Hoffmann, M., Cuzin, F. & De Smet, K.",
41646,45212491,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Ictonyx,striatus,,,,Ictonyx striatus,"(Perry, 1810)",LC,,FALSE,FALSE,28-Feb-15,"Stuart, C., Stuart, M. & Do Linh San, E.","Duckworth, J.W. & Hoffmann, M.","Hoffmann, M.",
41647,45212747,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Lyncodon,patagonicus,,,,Lyncodon patagonicus,"(de Blainville, 1842)",LC,,FALSE,FALSE,11-Feb-16,"Kelt, D., Pardiñas, U., Schiaffini, M. & González-Maya, J.F.","Hoffmann, M. & Duckworth, J.W.",,
41648,45212861,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Martes,americana,,,,Martes americana,"(Turton, 1806)",LC,,FALSE,FALSE,01-Mar-15,"Helgen, K. & Reid, F.","Duckworth, J.W.",,
41649,45212973,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Martes,flavigula,,,,Martes flavigula,"(Boddaert, 1785)",LC,,FALSE,FALSE,03-Mar-15,"Chutipong, W., Duckworth, J.W., Timmins, R.J., Choudhury, A., Abramov, A.V., Roberton, S., Long, B., Rahman, H., Hearn, A., Dinets, V. & Willcox, D.H.A.","Schipper, J.","Zaw, T.",
41650,45213228,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Martes,melampus,,,,Martes melampus,"(Wagner, 1840)",LC,,FALSE,FALSE,03-Mar-15,"Abramov, A.V., Kaneko, Y. & Masuda, R.","Duckworth, J.W. & Schipper, J.","Wozencraft, C",
41652,45213477,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Martes,zibellina,,,,Martes zibellina,"(Linnaeus, 1758)",LC,,FALSE,FALSE,03-Mar-15,"Monakhov, V.G.","Duckworth, J.W., Schipper, J. & Abramov, A.V.","Wozencraft, C",
41653,45213647,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,altaica,,,,Mustela altaica,"Pallas, 1811",NT,,FALSE,FALSE,03-Mar-15,"Abramov, A.V.","Duckworth, J.W. & Schipper, J.","Wozencraft, C & Wang, Y.-X.",
41654,45213820,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,frenata,,,,Mustela frenata,"Lichtenstein, 1831",LC,,FALSE,FALSE,01-Mar-15,"Helgen, K. & Reid, F.","Duckworth, J.W.",,
41655,45214014,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,kathiah,,,,Mustela kathiah,"Hodgson, 1835",LC,,FALSE,FALSE,03-Mar-15,"Willcox, D.H.A., Duckworth, J.W., Timmins, R.J., Abramov, A.V., Choudhury, A., Chutipong, W., Chan, B.P.L., Lau, M. & Roberton, S.","Schipper, J.","Ved, N.",
41656,45214163,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,itatsi,,,,Mustela itatsi,"Temminck, 1844",NT,,FALSE,FALSE,03-Mar-15,"Kaneko, Y., Masuda, R. & Abramov, A.V.","Duckworth, J.W. & Schipper, J.","Wozencraft, C",
41657,45214257,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,nudipes,,,,Mustela nudipes,"Desmarest, 1822",LC,,FALSE,FALSE,07-Mar-15,"Duckworth, J.W., Chutipong, W., Hearn, A. & Ross, J.","Schipper, J.","Kanchanasaka, B.",
